,CVE_ID,Overview,CVSS_V3,CVSS_V2,References,vulnerable_software_versions,CWE
0,CVE-2019-18464,"In Progress MOVEit Transfer 10.2 before 10.2.6 (2018.3), 11.0 before 11.0.4 (2019.0.4), and 11.1 before 11.1.3 (2019.1.3), multiple SQL Injection vulnerabilities have been found in the REST API that could allow an unauthenticated attacker to gain unauthorized access to the database. Depending on the database engine being used (MySQL, Microsoft SQL Server, or Azure SQL), an attacker may be able to infer information about the structure and contents of the database or may be able to alter the database.",9.8,7.5,https://community.ipswitch.com/s/article/SQL-Injection-Vulnerability-2|https://docs.ipswitch.com/MOVEit/Transfer2018SP2/ReleaseNotes/en/index.htm#46490.htm|https://docs.ipswitch.com/MOVEit/Transfer2019/ReleaseNotes/en/index.htm#48648.htm|https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm,cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*|cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*|cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*,CWE-89
1,CVE-2018-18813,"The Spotfire web server component of TIBCO Software Inc.'s TIBCO Spotfire Analytics Platform for AWS Marketplace, and TIBCO Spotfire Server contains multiple vulnerabilities that may allow persistent and reflected cross-site scripting attacks. Affected releases are TIBCO Software Inc. TIBCO Spotfire Analytics Platform for AWS Marketplace: versions up to and including 10.0.0, and TIBCO Spotfire Server: versions up to and including 7.10.1; 7.11.0; 7.11.1; 7.12.0; 7.13.0; 7.14.0; 10.0.0.",6.1,4.3,http://www.securityfocus.com/bid/106635|http://www.tibco.com/services/support/advisories|https://www.tibco.com/support/advisories/2019/01/tibco-security-advisory-january-16-2019-tibco-spotfire-2018-18813,cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.11.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.11.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.12.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.13.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:7.14.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_server:10.0.0:*:*:*:*:*:*:*,CWE-79
2,CVE-2018-18809,"The default server implementation of TIBCO Software Inc.'s TIBCO JasperReports Library, TIBCO JasperReports Library Community Edition, TIBCO JasperReports Library for ActiveMatrix BPM, TIBCO JasperReports Server, TIBCO JasperReports Server Community Edition, TIBCO JasperReports Server for ActiveMatrix BPM, TIBCO Jaspersoft for AWS with Multi-Tenancy, and TIBCO Jaspersoft Reporting and Analytics for AWS contains a directory-traversal vulnerability that may theoretically allow web server users to access contents of the host system. Affected releases are TIBCO Software Inc.'s TIBCO JasperReports Library: versions up to and including 6.3.4; 6.4.1; 6.4.2; 6.4.21; 7.1.0; 7.2.0, TIBCO JasperReports Library Community Edition: versions up to and including 6.7.0, TIBCO JasperReports Library for ActiveMatrix BPM: versions up to and including 6.4.21, TIBCO JasperReports Server: versions up to and including 6.3.4; 6.4.0; 6.4.1; 6.4.2; 6.4.3; 7.1.0, TIBCO JasperReports Server Community Edition: versions up to and including 6.4.3; 7.1.0, TIBCO JasperReports Server for ActiveMatrix BPM: versions up to and including 6.4.3, TIBCO Jaspersoft for AWS with Multi-Tenancy: versions up to and including 7.1.0, TIBCO Jaspersoft Reporting and Analytics for AWS: versions up to and including 7.1.0.",6.5,4.0,http://packetstormsecurity.com/files/154406/Tibco-JasperSoft-Path-Traversal.html|http://seclists.org/fulldisclosure/2019/Sep/17|http://www.securityfocus.com/bid/107351|http://www.tibco.com/services/support/advisories|https://security.elarlang.eu/cve-2018-18809-path-traversal-in-tibco-jaspersoft.html|https://www.tibco.com/support/advisories/2019/03/tibco-security-advisory-march-6-2019-tibco-jasperreports-library-2018-18809,cpe:2.3:a:tibco:jasperreports_library:6.3.4:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:6.4.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:6.4.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:6.4.21:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:*:*:*:*:activematrix_bpm:*:*:*|cpe:2.3:a:tibco:jasperreports_library:*:*:*:*:community:*:*:*|cpe:2.3:a:tibco:jasperreports_library:7.1.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:7.2.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:6.3.4:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:6.4.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:6.4.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:6.4.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:6.4.3:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:*:*:*:*:*:activematrix_bpm:*:*|cpe:2.3:a:tibco:jasperreports_server:*:*:*:*:community:*:*:*|cpe:2.3:a:tibco:jasperreports_server:7.1.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:7.1.0:*:*:*:community:*:*:*|cpe:2.3:a:tibco:jaspersoft:*:*:*:*:*:aws_with_multi-tenancy:*:*|cpe:2.3:a:tibco:jaspersoft_reporting_and_analytics:*:*:*:*:*:aws:*:*,CWE-22
3,CVE-2019-19316,"When using the Azure backend with a shared access signature (SAS), Terraform versions prior to 0.12.17 may transmit the token and state snapshot using cleartext HTTP.",7.5,4.3,https://github.com/hashicorp/terraform/security/advisories/GHSA-4rvg-555h-r626,cpe:2.3:a:hashicorp:terraform:*:*:*:*:*:*:*:*,CWE-327
4,CVE-2015-4554,"Multiple unspecified vulnerabilities in TIBCO Spotfire Client and Spotfire Web Player Client in Spotfire Analyst before 5.5.2, 6.0.x before 6.0.3, 6.5.x before 6.5.3, and 7.0.x before 7.0.1; Spotfire Analytics Platform for AWS 6.5 and 7.0.x before 7.0.1; Spotfire Automation Services before 5.5.2, 6.0.x before 6.0.3, 6.5.x before 6.5.3, and 7.0.x before 7.0.1; Spotfire Deployment Kit before 5.5.2, 6.0.x before 6.0.3, 6.5.x before 6.5.3, and 7.0.x before 7.0.1; Spotfire Desktop before 6.5.2 and 7.0.x before 7.0.1; Spotfire Desktop Language Packs 7.0.x before 7.0.1; Spotfire Professional before 5.5.2, 6.0.x before 6.0.3, 6.5.x before 6.5.3, and 7.0.x before 7.0.1; Spotfire Web Player before 5.5.2, 6.0.x before 6.0.3, 6.5.x before 6.5.3, and 7.0.x before 7.0.1; and Silver Fabric Enabler for Spotfire Web Player before 2.1.1 allow remote attackers to execute arbitrary code or obtain sensitive information via unknown vectors.",,7.5,http://www.securitytracker.com/id/1033015|http://www.tibco.com/assets/blt1fd126faba191a9f/2015-001-advisory.txt|http://www.tibco.com/mk/advisory.jsp,cpe:2.3:a:tibco:spotfire_deployment_kit:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.0.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_deployment_kit:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.0.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_professional:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.0.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_web_player:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_desktop:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_desktop:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_desktop_language_packs:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.0.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_automation_services:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:*:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.0.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.0.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analyst:7.0.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:silver_fabric_enabler_for_spotfire_webplayer:2.1.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:6.5:*:*:*:*:*:*:*|cpe:2.3:a:tibco:spotfire_analytics_platform_for_aws:7.0.0:*:*:*:*:*:*:*,NVD-CWE-noinfo
5,CVE-2020-0758,"An elevation of privilege vulnerability exists when Azure DevOps Server and Team Foundation Services improperly handle pipeline job tokens, aka 'Azure DevOps Server and Team Foundation Services Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2020-0815.",7.5,6.0,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0758,cpe:2.3:a:microsoft:team_foundation_server:2017:update3.1:*:*:*:*:*:*|cpe:2.3:a:microsoft:team_foundation_server:2018:update1.2:*:*:*:*:*:*|cpe:2.3:a:microsoft:team_foundation_server:2018:update3.2:*:*:*:*:*:*|cpe:2.3:o:microsoft:azure_devops_server:2019:update1:*:*:*:*:*:*|cpe:2.3:o:microsoft:azure_devops_server:2019:update1.1:*:*:*:*:*:*|cpe:2.3:o:microsoft:azure_devops_server:2019.0.1:*:*:*:*:*:*:*,CWE-269
6,CVE-2019-10421,"Jenkins Azure Event Grid Build Notifier Plugin stores credentials unencrypted in job config.xml files on the Jenkins master where they can be viewed by users with Extended Read permission, or access to the master file system.",4.3,4.0,http://www.openwall.com/lists/oss-security/2019/09/25/3|https://jenkins.io/security/advisory/2019-09-25/#SECURITY-1544,cpe:2.3:a:jenkins:azure_event_grid_notifier:*:*:*:*:*:jenkins:*:*,CWE-312
7,CVE-2019-0869,"A spoofing vulnerability exists in Microsoft Azure DevOps Server when it fails to properly handle web requests, aka 'Azure DevOps Server HTML Injection Vulnerability'.",6.1,4.3,http://www.securityfocus.com/bid/107768|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0869,cpe:2.3:o:microsoft:azure_devops_server:2019:*:*:*:*:*:*:*,CWE-74
8,CVE-2020-9410,"The report generator component of TIBCO Software Inc.'s TIBCO JasperReports Library, TIBCO JasperReports Library for ActiveMatrix BPM, TIBCO JasperReports Server, TIBCO JasperReports Server for AWS Marketplace, and TIBCO JasperReports Server for ActiveMatrix BPM contains a vulnerability that theoretically allows an attacker to exploit HTML injection to gain full control of a web interface containing the output of the report generator component with the privileges of any user that views the affected report(s). The attacker can theoretically exploit this vulnerability when other users view a maliciously generated report, where those reports use Fusion Charts and a data source with contents controlled by the attacker. Affected releases are TIBCO Software Inc.'s TIBCO JasperReports Library: versions 7.1.1 and below, versions 7.2.0 and 7.2.1, version 7.3.0, version 7.5.0, TIBCO JasperReports Library for ActiveMatrix BPM: versions 7.1.1 and below, TIBCO JasperReports Server: versions 7.1.1 and below, version 7.2.0, version 7.5.0, TIBCO JasperReports Server for AWS Marketplace: versions 7.5.0 and below, and TIBCO JasperReports Server for ActiveMatrix BPM: versions 7.1.1 and below.",8.8,6.8,http://www.tibco.com/services/support/advisories,cpe:2.3:a:tibco:jasperreports_library:*:*:*:*:*:-:*:*|cpe:2.3:a:tibco:jasperreports_library:*:*:*:*:*:activematrix_bpm:*:*|cpe:2.3:a:tibco:jasperreports_library:7.2.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:7.2.1:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:7.3.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_library:7.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:*:*:*:*:*:-:*:*|cpe:2.3:a:tibco:jasperreports_server:*:*:*:*:*:activematrix_bpm:*:*|cpe:2.3:a:tibco:jasperreports_server:7.2.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:7.5.0:*:*:*:*:*:*:*|cpe:2.3:a:tibco:jasperreports_server:*:*:*:*:*:aws_marketplace:*:*,CWE-74
9,CVE-2018-16603,"An issue was discovered in Amazon Web Services (AWS) FreeRTOS through 1.3.1, FreeRTOS up to V10.0.1 (with FreeRTOS+TCP), and WITTENSTEIN WHIS Connect middleware TCP/IP component. Out of bounds access to TCP source and destination port fields in xProcessReceivedTCPPacket can leak data back to an attacker.",5.9,4.3,https://blog.zimperium.com/freertos-tcpip-stack-vulnerabilities-details/|https://blog.zimperium.com/freertos-tcpip-stack-vulnerabilities-put-wide-range-devices-risk-compromise-smart-homes-critical-infrastructure-systems/|https://github.com/aws/amazon-freertos/blob/v1.3.2/CHANGELOG.md,cpe:2.3:a:amazon:amazon_web_services_freertos:*:*:*:*:*:*:*:*|cpe:2.3:a:amazon:freertos:*:*:*:*:*:*:*:*,CWE-200
